Class,Title,Description,BodyText,ImageSrc,ImageSrc2,Caption,Caption2,Link,Keywords,
left ,Kalonica Quigley,3D Game,"Quigley is a Melbourne-based 3D animator and game maker. Her game Apartment was born out of her personal experience during the COVID-19 pandemic, where she was forced to leave home. As a response to the lockdowns, she created this game that served as a digital memory of the place she had called home for so long, as a way of preserving her connection to the place. In Apartment players are invited to explore a 3D stylised recreation of her apartment with objects scattered around the apartment serving as a trigger for players to piece together her story. The environment is quiet with no other humans or animals in sight, cleverly replicating the pandemic conditions. I found the 3D environmetn and personal story behind it incredibly inspiring. The way Quigley used game design as a medium to communicate her story has had a strong influnce in the design of my workbooks where the main page of the workbook is a 3D replica of my bedroom.",https://acmi-website-media-prod.s3.amazonaws.com/media/images/ApartmentScreenshot_03.width-2208.png,https://findnicegames.com/wp-content/uploads/2024/07/Untitled_1.1.1-19.jpg,"Kalonica Quigley, Apartment, 2021","Kalonica Quigley, Apartment, 2021",https://www.acmi.net.au/whats-on/women-non-binary-gamers-club/apartment/,"3D, Game, InteractiveMedia", 
leftDoubleImage,Bruno Simon,3D Website Portfolio,"Bruno Simon is a Paris-based creative developer with expertise in web development. His personal portfolio allows users to navigate a 3D environment using a small virtual car interacting with other elements in the scene. This makes his portfolio stand out and creates an immersive gamified experience. When I first discovered his website last year, I was drawn to the way he reimagined what a portfolio could be. The blend of interactivity and technical skill deeply resonated with me. Since then, I have been wanting to explore ThreeJS. I finally tried it for my workbooks and ended up really enjoying it and hope to use it as my actual portfolio website. My goal is to build a digital space that not only showcases my work but also invites visitors to engage with it on a deeper level.",https://miro.medium.com/v2/resize:fit:1076/1*L7quyJ9MJANYzZFnWGf_cQ.png,https://miro.medium.com/v2/resize:fit:1400/1*oVagT0gUVBCIOwDVCy24xg.png,"Bruno Simon, Portfolio Website, 2019, landing page","Bruno Simon, Portfolio Website, 2019, navigation system",https://bruno-simon.com/,"3D, Portfolio, CreativeCoding",
leftDoubleImage,makemepulse,Interactive Tale,"makemepulse is an award winning interactive production studio whose work sists at the intersection of art and interactivity. One of their most memorable projects for me was their 2019 annual passion project Nomadic Tribe - a stunning interactive experience created as a tribute to the French comic book artist Jean Giraud, also known as Moebius. Nomadic Tribe stood out to me not just for its visuals but for how seamlessly it blended interactivity and narrative. The website is structured as a journey through illustrated environments inspired by Moebius' aesthetic. Each chapter is designed with unique interactive moving elements that guide the user to the next chapter. Rather than simply scrolling through a story, the user is invited to a meditative experience that rewards patience and exploration. I have often found myself returning to this website to re read and explore the interactions again. This work inspired me to experiment with mood and interaction in my workbooks.",https://images.prismic.io/makemepulse/b5ed3135-2e0e-4340-9a77-423bd5aa22c2_nomadic-tribe-mid-2.jpg,https://images.prismic.io/makemepulse/cd2b3fcd-f4e6-4c0b-a8a2-6a904349fe93_nomadic-tribe-mid-3.jpg,"makemepulse, Nomadic Tribe, 2019, Chapter 1","makemepulse, Nomadic Tribe, 2019, Chapter 3",https://2019.makemepulse.com/,InteractiveStory,
leftDoubleImage,Because Recollection,Interactive Music Experience,"Because Recollection is an interactive music website created to celebrate the 15th anniversary of Because Music, an independent music label. What makes this digital experience so striking is its blend of nostalgia and interactivity, transforming the journey though sound and visuals. The website allows users to explroe the label's history through a urated collection of songs. As the user holds the spacebar, a new song is presented with unique visuals that interact in different ways. There is constant visual transformation that keeps the experience engaging. What particularly stood out to me was how each visual interacted in a different way including dragging elements, pressing or holding keys on the keyboard. I find myself hooked onto this website for a long time every time I visit it.",https://www.cssdesignawards.com/cdasites/2015/201512/20151210193840.jpg,https://d2oto3d7z6t29c.cloudfront.net/entries/transformed/62/5a/339161_fc716074a41d485cb071b9d0943a747d.jpg,"Because Recollection, 2015, Rita Mitsuoko (2007), Variety","Because Recollection, 2015, Breakbot (2012), By Your Side",http://because-recollection.com/,"Interactive, Music, Immersive, Experience",
left,Late Checkout Studio,3D Interactive Website,"Late Checkout Studio is a creative practice known for its experimental approach to branding, digital experiences and storytelling. Their interactive website is an extension of their identity - playful, unconventional and very interactive. The landing page of the website looks like a cityscape with buildings acting as navigation elements leading to other webpages. On hovering over the image a small textbox pops up indicating viewers what page it leads to. This website also challenged my expectations of what a portfolio website could look like, similar to Bruno Simon. It has encouraged and inspired me to explore 3D web design for my own projects.",https://cdn.landing.love/images/latecheckout.webp,,"Late Checkout Studio's website, landing page",,https://www.latecheckout.studio/,"Interactive, Website, 3D",
left,Chloé Eyewear,AR web service,"Chloé Eyewear launched an innovative digital campaign that allowed users to virtually try on their eyewear using augmented reality (AR) technology. The project aimed to use to immersive technology to create a more personalised shopping experience. Users could access a cirtual try-on feature that used facial recognition and AR filters to map eyewear onto their face. This allowed users to view what different frames would look like on them from different angles. This campaign demonstrated how digital experiences could enhance customer experience. With some exposure to AR through WIST, I found this project particularly inspiring as it showcased how AR could transform experiences and brand identities and has inspired me to keep experimenting with AR. ",https://variable.io/chloe-see-with-optimism/assets/portrait-irene.jpg,,"Chloé Eyewear AR campaign, service in action",,https://variable.io/chloe-see-with-optimism/,"Interactive, AR",
left,Sihan Zhang,Creative Coding Project,"Zhang is a Beijing-born, New York-based creative coder, multimedia artistt and game developer. Her creative coding project available on the OpenProcessing webite really inspired me. It also reminded me of the game mindsweeper that I used to try playing as a kid but always ended up frustrated because I could not figure out how to play the game. The sketch is interactive and allows users to change the threshold and alter the visuals.",https://kyoko.openprocessing.org/thumbnails/visualThumbnail2537669@2x.jpg?hash=20250209155857,,"Sihan Zhang, 0/1 Mirror",,https://openprocessing.org/sketch/2537669,"Interactive, CreativeCoding",
leftDoubleImage,Memory Garden @ ACMI,Interactive Experience,"Memory Garden is one of my favourite interactive experiences at ACMI. It takes the viewer through a ""stroll through… a beautiful interactive and immersive display of Australian home videos from the ACMI collection"".  Beams of light are projected onto the viewers hand when they hold it out beneath towers projected from the cieling. When I first saw this, I had never experienced a similar interactive expereince and was really amazed by it. This work has inspired me to work at galleries particularly the ones that focus on interactive art and explore exhibiton curation.",https://acmi-website-media-prod.s3.amazonaws.com/media/images/Memory_Garden_at_ACMI.width-552.jpg,,"ACMI, Memory Garden",,,,
leftDoubleImage,"Curious characters born from code, Being @ ACMI",Interactive Art,"Beings is an interactive digital artwork that allows users to bring fantastical creatures to life through physical movement - by jumping or dancing. ""Created from an unending algorithm, some of the artworks in Beings are generative and evolve in real-time, so that no two visits are the same"". This interactive artwork was super engaging and became quite popular while I was visiting the exhibition. It was fun to see the creatures move with you and their fur and molecules react to motion. During my visit, this artwork appeared to be a popular installation as it was joyful and fun. Watching ",https://static.universaleverything.com/wp-content/uploads/2024/05/04151651/Kinfolk-by-Universal-Everything-in-Beings-at-ACMI-2024-image-by-Michelle-Tran_1-1094x730.webp,https://static.universaleverything.com/wp-content/uploads/2024/05/16164126/20240208_045118-1094x615.webp,"Beings @ ACMI, Kinfolk, 2024, users interacting with the artwork","Beings @ ACMI, Kinfolk, 2024, curious characters",,,
left,Lauren McCarthy,Interactive Physical Product,"The Happiness Hat is a phyical interactive projuct that has an enclosed ensor that attaches to the cheek and measures smile size, with an attached servo with metal spike. The smaller the smile of the wearer, the further a spike is driven into the back of their neck. This trains the wearer to smile more. This project inspired me as, once I had understood how physical computing worked and was also meaningful as the artist hoped to make the wearers smile more.",https://digitalartarchive.siggraph.org/wp-content/uploads/2018/03/2010_McCarthy_ToolforImprovedSocialInteracting.jpg,,"Lauren McCarthy, Tool for Improved Social Interacting:  The Happiness Hat, 2010, physical interactive project",,https://digitalartarchive.siggraph.org/artwork/lauren-mccarthy-tool-for-improved-social-interacting/,"PhysicalComputing, InteractivMedia",
